race_id	bet_type	combo	pay100
202606010101	fukusho	14	220
202606010101	sanrenpuku	14-15-16	2850
202606010101	sanrentan	14-15-16	8900
202606010101	tansho	14	140
202606010101	umaren	14-15	1340
202606010101	umatan	14-15	1800
202606010101	wide	14-14-15	530
202606010101	wide	14-14-15-15-16-16	1910
202606010101	wide	15-16	360
202606010102	fukusho	4	120
202606010102	sanrenpuku	4-7-8	450
202606010102	sanrentan	4-8-7	1300
202606010102	tansho	4	130
202606010102	umaren	4-8	420
202606010102	umatan	4-8	530
202606010102	wide	4-4-7-7-8-8	440
202606010102	wide	4-4-8	200
202606010102	wide	7-8	140
202606010103	fukusho	14	150
202606010103	sanrenpuku	13-14-16	3480
202606010103	sanrentan	14-13-16	26890
202606010103	tansho	14	830
202606010103	umaren	13-14	3950
202606010103	umatan	14-13	6690
202606010103	wide	13-13-14-14-16-16	550
202606010103	wide	13-14-14	1020
202606010103	wide	13-16	450
202606010104	fukusho	7	130
202606010104	sanrenpuku	2-5-7	2370
202606010104	sanrentan	7-2-5	15770
202606010104	tansho	7	410
202606010104	umaren	2-7	3550
202606010104	umatan	7-2	5310
202606010104	wide	2-2-5-5-7-7	740
202606010104	wide	2-5	260
202606010104	wide	2-5-7	940
202606010105	fukusho	16	260
202606010105	sanrenpuku	5-9-16	9520
202606010105	sanrentan	16-5-9	48050
202606010105	tansho	16	350
202606010105	umaren	5-16	3250
202606010105	umatan	16-5	5520
202606010105	wide	5-5-9-9-16-16	1960
202606010105	wide	5-9	870
202606010105	wide	5-9-16	1110
202606010106	fukusho	8	1410
202606010106	sanrenpuku	8-10-12	474850
202606010106	sanrentan	8-10-12	2097850
202606010106	tansho	8	1590
202606010106	umaren	8-10	32110
202606010106	umatan	8-10	59150
202606010106	wide	10-12	15030
202606010106	wide	8-8-10	6880
202606010106	wide	8-8-10-10-12-12	25000
202606010107	fukusho	13	1760
202606010107	sanrenpuku	1-13-16	54450
202606010107	sanrentan	13-16-1	133720
202606010107	tansho	13	160
202606010107	umaren	13-16	1490
202606010107	umatan	13-16	1980
202606010107	wide	1-1-13-13-16-16	18330
202606010107	wide	1-13-16	770
202606010107	wide	1-16	4520
202606010108	fukusho	4	490
202606010108	sanrenpuku	4-11-12	44560
