race_id	title	info1	info2	around_dir	around_inout	course_abc
202301010101	2歳未勝利	['芝右1200m', '天候:晴', '芝:良', '発走:09:50']	['2023年7月22日', '1回札幌1日目', '2歳未勝利', '混', '指', '馬齢']			
202301010102	3歳未勝利	['ダ右1000m', '天候:晴', 'ダート:良', '発走:10:25']	['2023年7月22日', '1回札幌1日目', '3歳未勝利', '指', '馬齢']			
202301010103	3歳未勝利	['ダ右1700m', '天候:晴', 'ダート:良', '発走:10:55']	['2023年7月22日', '1回札幌1日目', '3歳未勝利', '指', '馬齢']			
202301010104	3歳未勝利	['芝右1500m', '天候:晴', '芝:良', '発走:11:25']	['2023年7月22日', '1回札幌1日目', '3歳未勝利', '牝', '指', '馬齢']			
202301010105	2歳新馬	['ダ右1700m', '天候:晴', 'ダート:良', '発走:12:15']	['2023年7月22日', '1回札幌1日目', '2歳新馬', '混', '指', '馬齢']			
202301010106	3歳未勝利	['芝右1800m', '天候:晴', '芝:良', '発走:12:45']	['2023年7月22日', '1回札幌1日目', '3歳未勝利', '混', '指', '馬齢']			
202301010107	3歳以上1勝クラス	['芝右1200m', '天候:晴', '芝:良', '発走:13:15']	['2023年7月22日', '1回札幌1日目', '3歳以上1勝クラス', '指', '定量']			
202301010108	3歳以上1勝クラス	['ダ右1700m', '天候:晴', 'ダート:良', '発走:13:45']	['2023年7月22日', '1回札幌1日目', '3歳以上1勝クラス', '牝', '指', '定量']			
202301010109	北辰特別(1勝)	['芝右1800m', '天候:晴', '芝:良', '発走:14:15', '過去の北辰特別']	['2023年7月22日', '1回札幌1日目', '3歳以上1勝クラス', '混', '指', '定量']			
202301010110	ライラック賞(2勝)	['芝右2000m', '天候:晴', '芝:良', '発走:14:50', '過去のライラック賞']	['2023年7月22日', '1回札幌1日目', '3歳以上2勝クラス', '混', '特指', '定量']			
202301010111	TVh賞(3勝)	['芝右1200m', '天候:晴', '芝:良', '発走:15:25', '過去のTVh賞']	['2023年7月22日', '1回札幌1日目', '3歳以上3勝クラス', '混', '特指', '定量']			
202301010112	3歳以上1勝クラス	['ダ右1700m', '天候:晴', 'ダート:良', '発走:16:05']	['2023年7月22日', '1回札幌1日目', '3歳以上1勝クラス', '指', '定量']			
