race_id	date	race_type	around	course_len	weather	ground_state	race_class	place
202406010111	2024-01-06	1.0	0.0	2000	0	0	5	2
202309020109	2023-03-25	1.0	0.0	1800	1	0	2	1
202303020408	2023-07-09	1.0	0.0	1800	1	0	2	9
202307020402	2023-03-19	0.0	1.0	1900	0	1	1	4
202410020205	2024-02-11	1.0	0.0	2000	0	0	1	8
202308010304	2023-04-29	0.0	0.0	1800	1	0	1	3
202304040412	2023-10-22	1.0	2.0	1000	0	2	2	7
202305020202	2023-04-23	0.0	1.0	1600	1	0	1	0
202309040111	2023-09-09	0.0	0.0	1400	0	0	5	1
202302020503	2023-07-15	1.0	0.0	1200	3	1	1	10
202408020609	2024-02-11	1.0	0.0	1800	1	0	3	3
202304010102	2023-04-29	0.0	1.0	1800	0	0	1	7
202309040909	2023-10-01	1.0	0.0	1800	1	2	3	1
202410030212	2024-06-30	0.0	0.0	1700	1	1	2	8
202308011106	2023-05-27	0.0	0.0	1400	0	0	2	3
202306040108	2023-09-09	0.0	0.0	1800	1	1	2	2
202310020412	2023-02-19	1.0	0.0	1200	0	1	2	8
202307010403	2023-01-09	0.0	1.0	1800	0	0	2	4
202310030709	2023-09-02	0.0	0.0	1700	1	2	3	8
202401020105	2024-08-10	1.0	0.0	1500	0	0	0	5
202304030506	2023-08-26	1.0	1.0	1600	0	0	0	7
202408060209	2024-11-03	0.0	0.0	1800	0	1	2	3
202307040307	2023-12-09	0.0	1.0	1800	0	0	2	4
202310020410	2023-02-19	0.0	0.0	1000	0	3	3	8
202408020111	2024-01-27	0.0	0.0	1900	1	0	4	3
202308010106	2023-04-22	1.0	0.0	1800	0	0	2	3
202304030607	2023-08-27	1.0	1.0	1800	0	0	2	7
202302010105	2023-06-10	1.0	0.0	1000	1	2	0	10
202306030601	2023-04-09	0.0	0.0	1200	0	2	1	2
202306010712	2023-01-21	1.0	0.0	2200	0	2	2	2
202304020206	2023-07-30	1.0	1.0	1400	0	0	0	7
202304010612	2023-05-14	1.0	1.0	1200	0	0	2	7
202408020501	2024-02-10	0.0	0.0	1800	1	0	1	3
202405030308	2024-06-08	0.0	1.0	2100	0	0	2	0
202409010705	2024-03-16	1.0	0.0	2400	0	0	1	1
202406010209	2024-01-07	1.0	0.0	2000	0	0	3	2
202401010509	2024-08-03	1.0	0.0	1500	0	0	2	5
