race_id	horse_id	rank	umaban	tansyo_odds	popularity	score	pred_rank
202501010101		12	1	36.9	6	-1.903844590777663	4.0
202501010101		3	2	4.2	2	-2.6894221397423417	7.0
202501010101		1	3	4.8	3	-0.716467672463145	1.0
202501010101		2	4	2.4	1	-1.5746757127465003	2.0
202501010101		9	5	5.5	4	-1.7213903179214491	3.0
202501010101		11	6	41.2	7	-4.042954048047685	11.0
202501010101		4	7	46.9	8	-2.4604832885053827	6.0
202501010101		8	8	74.4	9	-2.4580699252273015	5.0
202501010101		10	9	109.3	12	-3.7406645318820555	10.0
202501010101		7	10	92.1	11	-3.4686602962840887	8.0
202501010101		6	11	10.0	5	-3.5202850609675083	9.0
202501010101		5	12	77.1	10	-4.209624331428087	12.0
202501010102	2022110019	9	1	35.9	7	-2.4992907111404787	12.0
202501010102	2022102799	2	2	12.0	4	0.6617423160432541	2.0
202501010102	2022100595	12	3	46.9	9	-2.441019071475094	11.0
202501010102	2022110124	7	4	47.5	10	-1.633166282103288	9.0
202501010102	2022102103	5	5	13.2	5	-0.9556908662416672	7.0
202501010102	2022102967	6	6	208.3	11	-0.9470142609788246	6.0
202501010102	2022107411	10	7	4.0	2	-2.3484796112601027	10.0
202501010102	2022101204	4	8	31.6	6	0.5568353178049921	3.0
202501010102	2022110064	1	9	1.6	1	0.0703560921392249	5.0
202501010102	2022105228	8	10	43.8	8	0.6939198981287275	1.0
202501010102	2022104131	11	11	297.0	12	-1.6253902830138802	8.0
202501010102	2022106194	3	12	9.9	3	0.13744089118257663	4.0
202501010103	2022102356	13	1	167.5	11	-6.547740826150762	11.0
202501010103	2022105487	8	2	18.6	6	-3.738516906831612	5.0
202501010103	2022102728	11	3	167.8	12	-7.131254643733641	14.0
202501010103	2022106614	4	4	36.7	9	-3.702663347469639	4.0
202501010103	2022101234	3	5	3.9	2	-0.7945223071085867	1.0
202501010103	2022107059	9	6	259.7	14	-5.934181456224143	9.0
202501010103	2022104381	12	7	92.1	10	-6.9165841681796785	12.0
202501010103	2022101090	14	8	218.4	13	-7.013747371052547	13.0
202501010103	2022101769	6	9	20.9	8	-4.9813735729022754	7.0
202501010103	2022104404	10	10	16.3	5	-6.3165417480888175	10.0
202501010103	2022105547	7	11	7.1	3	-4.335015150903965	6.0
202501010103	2022102905	1	12	2.0	1	-2.150480065573665	2.0
202501010103	2022100997	2	13	10.4	4	-3.3894582714428583	3.0
202501010103	2022102567	5	14	19.8	7	-5.742176396840043	8.0
202501010104		7	1	38.8	9	-0.9114046442536753	3.0
202501010104	2022104170	14	2	5.9	4	-4.451250164474181	13.0
