date,race_id,bet_type,combo,pay100,date_old
2023-01-05,202306010101,fukusho,1,480,2023-06-01
2023-01-05,202306010101,fukusho,14,110,2023-06-01
2023-01-05,202306010101,fukusho,5,150,2023-06-01
2023-01-05,202306010101,sanrenpuku,1-5-14,3040,2023-06-01
2023-01-05,202306010101,sanrentan,14-5-1,8890,2023-06-01
2023-01-05,202306010101,tansho,14,180,2023-06-01
2023-01-05,202306010101,umaren,5-14,470,2023-06-01
2023-01-05,202306010101,umatan,14-5,660,2023-06-01
2023-01-05,202306010101,wide,1-14,790,2023-06-01
2023-01-05,202306010101,wide,1-5,1550,2023-06-01
2023-01-05,202306010101,wide,5-14,220,2023-06-01
2023-01-05,202306010102,fukusho,13,400,2023-06-01
2023-01-05,202306010102,fukusho,7,440,2023-06-01
2023-01-05,202306010102,fukusho,8,460,2023-06-01
2023-01-05,202306010102,sanrenpuku,7-8-13,32390,2023-06-01
2023-01-05,202306010102,sanrentan,8-7-13,199190,2023-06-01
2023-01-05,202306010102,tansho,8,1380,2023-06-01
2023-01-05,202306010102,umaren,7-8,6420,2023-06-01
2023-01-05,202306010102,umatan,8-7,15240,2023-06-01
2023-01-05,202306010102,wide,7-13,2490,2023-06-01
2023-01-05,202306010102,wide,7-8,1930,2023-06-01
2023-01-05,202306010102,wide,8-13,2810,2023-06-01
2023-01-05,202306010103,fukusho,16,540,2023-06-01
2023-01-05,202306010103,fukusho,2,440,2023-06-01
2023-01-05,202306010103,fukusho,9,1000,2023-06-01
2023-01-05,202306010103,sanrenpuku,2-9-16,117380,2023-06-01
2023-01-05,202306010103,sanrentan,16-9-2,649440,2023-06-01
2023-01-05,202306010103,tansho,16,1590,2023-06-01
2023-01-05,202306010103,umaren,9-16,24290,2023-06-01
2023-01-05,202306010103,umatan,16-9,47840,2023-06-01
2023-01-05,202306010103,wide,2-16,3510,2023-06-01
2023-01-05,202306010103,wide,2-9,5930,2023-06-01
2023-01-05,202306010103,wide,9-16,6100,2023-06-01
2023-01-05,202306010104,fukusho,1,150,2023-06-01
2023-01-05,202306010104,fukusho,13,290,2023-06-01
2023-01-05,202306010104,fukusho,7,330,2023-06-01
2023-01-05,202306010104,sanrenpuku,1-7-13,7310,2023-06-01
2023-01-05,202306010104,sanrentan,7-13-1,78280,2023-06-01
2023-01-05,202306010104,tansho,7,1590,2023-06-01
2023-01-05,202306010104,umaren,7-13,6650,2023-06-01
2023-01-05,202306010104,umatan,7-13,13100,2023-06-01
2023-01-05,202306010104,wide,1-13,830,2023-06-01
2023-01-05,202306010104,wide,1-7,970,2023-06-01
2023-01-05,202306010104,wide,7-13,1710,2023-06-01
2023-01-05,202306010105,fukusho,1,180,2023-06-01
2023-01-05,202306010105,fukusho,16,170,2023-06-01
2023-01-05,202306010105,fukusho,3,150,2023-06-01
2023-01-05,202306010105,sanrenpuku,1-3-16,1860,2023-06-01
2023-01-05,202306010105,sanrentan,1-3-16,13100,2023-06-01
2023-01-05,202306010105,tansho,1,690,2023-06-01
2023-01-05,202306010105,umaren,1-3,1220,2023-06-01
2023-01-05,202306010105,umatan,1-3,2770,2023-06-01
2023-01-05,202306010105,wide,1-16,750,2023-06-01
2023-01-05,202306010105,wide,1-3,510,2023-06-01
2023-01-05,202306010105,wide,3-16,410,2023-06-01
2023-01-05,202306010106,fukusho,2,190,2023-06-01
2023-01-05,202306010106,fukusho,5,150,2023-06-01
2023-01-05,202306010106,fukusho,7,210,2023-06-01
2023-01-05,202306010106,sanrenpuku,2-5-7,3220,2023-06-01
2023-01-05,202306010106,sanrentan,5-2-7,14150,2023-06-01
2023-01-05,202306010106,tansho,5,400,2023-06-01
2023-01-05,202306010106,umaren,2-5,1430,2023-06-01
2023-01-05,202306010106,umatan,5-2,2170,2023-06-01
2023-01-05,202306010106,wide,2-5,520,2023-06-01
2023-01-05,202306010106,wide,2-7,690,2023-06-01
2023-01-05,202306010106,wide,5-7,590,2023-06-01
2023-01-05,202306010107,fukusho,1,640,2023-06-01
2023-01-05,202306010107,fukusho,11,460,2023-06-01
2023-01-05,202306010107,fukusho,8,210,2023-06-01
2023-01-05,202306010107,sanrenpuku,1-8-11,20120,2023-06-01
2023-01-05,202306010107,sanrentan,11-8-1,161520,2023-06-01
2023-01-05,202306010107,tansho,11,1800,2023-06-01
2023-01-05,202306010107,umaren,8-11,4520,2023-06-01
2023-01-05,202306010107,umatan,11-8,11040,2023-06-01
2023-01-05,202306010107,wide,1-11,3060,2023-06-01
2023-01-05,202306010107,wide,1-8,1870,2023-06-01
2023-01-05,202306010107,wide,8-11,1660,2023-06-01
2023-01-05,202306010108,fukusho,11,140,2023-06-01
