date,race_id,strategy,model_score,n_points,stake,return,profit,hit,venue,roi
2026-01-17,202606010601,umaren_box5,0.1974323462922527,10,1000.0,590.0,-410.0,1,中山,59.0
2026-01-17,202606010602,umatan_box5,0.1213294569424396,20,2000.0,0.0,-2000.0,0,中山,0.0
2026-01-17,202606010603,umaren_box5,0.215285290446957,10,1000.0,0.0,-1000.0,0,中山,0.0
2026-01-17,202606010604,tansho_minodds_top5,0.1106384877360966,5,500.0,160.0,-340.0,1,中山,32.0
2026-01-17,202606010605,wide_box5,0.2059984407458919,10,1000.0,4020.0,3020.0,1,中山,402.0
2026-01-17,202606010606,umatan_box4,0.0890791860130317,12,1200.0,1790.0,590.0,1,中山,149.16666666666666
2026-01-17,202606010607,umatan_box5,0.0921845841508942,20,2000.0,0.0,-2000.0,0,中山,0.0
2026-01-17,202606010608,tansho_minodds_top5,0.1671255420026839,5,500.0,580.0,80.0,1,中山,116.0
2026-01-17,202606010609,umaren_box5,0.0980783662970312,10,1000.0,0.0,-1000.0,0,中山,0.0
2026-01-17,202606010610,umaren_box5,0.2127005638001416,10,1000.0,5250.0,4250.0,1,中山,525.0
2026-01-17,202606010611,umaren_box5,0.2283409566891624,10,1000.0,0.0,-1000.0,0,中山,0.0
2026-01-17,202606010612,wide_box5,0.1210798968629581,10,1000.0,420.0,-580.0,1,中山,42.0
2026-01-17,202608010601,umatan_box5,0.157361840759517,20,2000.0,0.0,-2000.0,0,京都,0.0
2026-01-17,202608010602,umaren_box5,0.2845392317913554,10,1000.0,0.0,-1000.0,0,京都,0.0
2026-01-17,202608010603,wide_box5,0.0908223385795945,10,1000.0,830.0,-170.0,1,京都,83.0
2026-01-17,202608010604,wide_box5,0.0990548707581909,10,1000.0,0.0,-1000.0,0,京都,0.0
2026-01-17,202608010605,umaren_nagashi5,0.107882081149025,4,400.0,0.0,-400.0,0,京都,0.0
2026-01-17,202608010606,umaren_box5,0.1283657413971164,10,1000.0,620.0,-380.0,1,京都,62.0
2026-01-17,202608010607,umaren_box5,0.1318083624503168,10,1000.0,380.0,-620.0,1,京都,38.0
2026-01-17,202608010608,umaren_box5,0.0963788890645875,10,1000.0,280.0,-720.0,1,京都,28.000000000000004
2026-01-17,202608010609,umaren_box5,0.150108141831808,10,1000.0,0.0,-1000.0,0,京都,0.0
2026-01-17,202608010610,tansho_minodds_top5,0.0931065062327224,5,500.0,160.0,-340.0,1,京都,32.0
2026-01-17,202608010611,tansho_minodds_top5,0.2093184948250029,5,500.0,630.0,130.0,1,京都,126.0
2026-01-17,202608010612,wide_box5,0.1341763811893875,10,1000.0,0.0,-1000.0,0,京都,0.0
